curve,turn,best_valid,argmax_iter,scripts_this_turn,test
curve_1,1,0.603412,2,1,0.598052
curve_1,2,0.603609,3,1,0.599032
curve_1,3,0.603717,4,1,0.599395
curve_1,4,0.603758,5,1,0.599512
curve_1,5,0.604254,6,1,0.598778
curve_1,6,0.604254,6,1,0.598778
curve_1,7,0.604456,8,1,0.598786
curve_1,8,0.604464,9,1,0.598748
curve_1,9,0.604472,10,1,0.598810
curve_1,10,0.604472,10,1,0.598810
curve_1,12,0.604616,13,1,0.598328
curve_1,13,0.604621,14,1,0.598279
curve_1,14,0.604621,14,1,0.598279
curve_1,15,0.604636,16,1,0.598312
curve_1,16,0.604636,16,1,0.598312
curve_1,18,0.604636,16,1,0.598312
curve_1,19,0.604699,20,1,0.598533
curve_1,20,0.605204,21,1,0.599027
curve_1,21,0.605223,22,1,0.599057
curve_1,22,0.605227,23,1,0.599064
curve_1,23,0.605232,24,1,0.599046
curve_1,24,0.605285,25,1,0.598978
curve_1,25,0.605285,25,1,0.598978
curve_1,27,0.605296,28,1,0.598972
curve_2,1,0.604537,2,1,0.598010
curve_2,2,0.605490,3,1,0.599991
curve_2,3,0.605564,4,1,0.600158
curve_2,4,0.605748,5,1,0.600215
curve_2,5,0.605749,6,1,0.600214
curve_2,7,0.605749,6,1,0.600214
curve_2,9,0.605752,10,1,0.600191
curve_2,10,0.605752,10,1,0.600191
curve_2,11,0.605752,10,1,0.600191
curve_2,12,0.605770,13,1,0.600135
curve_2,13,0.605773,14,1,0.600134
curve_2,15,0.605899,16,1,0.600355
curve_2,16,0.606035,17,1,0.599856
curve_2,17,0.606051,18,1,0.599800
curve_2,18,0.606077,19,1,0.599772
curve_2,19,0.606111,20,1,0.599746
curve_2,20,0.606117,21,1,0.599740
curve_2,21,0.606124,22,1,0.599741
curve_2,22,0.606125,23,1,0.599731
curve_2,23,0.606125,23,1,0.599731
curve_2,24,0.606125,23,1,0.599731
curve_3,1,0.601887,2,1,0.595070
curve_3,2,0.602904,3,1,0.597342
curve_3,3,0.604153,4,1,0.598438
curve_3,4,0.604691,5,1,0.598910
curve_3,5,0.604710,6,1,0.598957
curve_3,6,0.604792,7,1,0.598927
curve_3,7,0.604792,7,1,0.598927
curve_3,8,0.604792,7,1,0.598927
curve_3,9,0.604792,7,1,0.598927
curve_3,10,0.604792,7,1,0.598927
curve_3,12,0.604792,7,1,0.598927
curve_3,13,0.604961,14,1,0.599030
curve_3,14,0.604965,15,1,0.599030
curve_3,15,0.605003,16,1,0.598950
curve_3,16,0.605060,17,1,0.598920
curve_3,17,0.605060,17,1,0.598920
curve_3,18,0.605079,19,1,0.598910
curve_3,19,0.605079,19,1,0.598910
curve_3,20,0.605085,21,1,0.598897
